Date,Time,Gas Flow (l/min),Total Flow (l),Voltage (V),Current (A),Power (W)
16/02/2018,14:05:32.771336,0,0,10.0,0.0,595.0
16/02/2018,14:05:53.861439,0,0,10.0,0.0,595.0
16/02/2018,14:05:54.380181,0,0,10.0,0.0,595.0
16/02/2018,14:05:54.898643,0,0,10.0,0.0,595.0
16/02/2018,14:05:55.423138,0,0,10.0,0.0,595.0
16/02/2018,14:05:55.945130,0,0,10.0,0.0,595.0
16/02/2018,14:05:56.464200,0,0,10.0,0.0,595.0
16/02/2018,14:05:56.982126,0,0,10.0,0.0,595.0
16/02/2018,14:05:57.503052,0,0,10.0,0.0,595.0
16/02/2018,14:05:58.025064,0,0,10.0,0.0,595.0
16/02/2018,14:05:58.549266,0,0,10.0,0.0,595.0
16/02/2018,14:05:59.071905,0,0,10.0,0.0,595.0
16/02/2018,14:05:59.590324,0,0,10.0,0.0,595.0
16/02/2018,14:06:40.504806,0,0,10.0,0.0,595.0
16/02/2018,14:06:41.025769,0,0,10.0,0.0,595.0
16/02/2018,14:06:41.551301,0,0,10.0,0.0,595.0
16/02/2018,14:06:42.069475,0,0,10.0,0.0,595.0
16/02/2018,14:06:42.594235,0,0,10.0,0.0,595.0
16/02/2018,14:06:43.115008,0,0,10.0,0.0,595.0
16/02/2018,14:06:43.635187,0,0,10.0,0.0,595.0
